순번,수거장소구분명,수거장소명,지번주소,도로명주소,행정동코드,행정동명,법정동코드,법정동명,개설자명,전화번호,비고,위도,경도,데이터기준일자
235,약국,탄방한마음약국,대전광역시 서구 탄방동 599,대전광역시 서구 문정로 30,3017055500,탄방동,3017010600,탄방동,신**,,,36.34631988,127.382896,2025-01-17
236,약국,태양약국,대전광역시 서구 둔산동 1362,대전광역시 서구 대덕대로 226,3017064000,둔산2동,3017011200,둔산동,김**,,,36.35273248,127.3798669,2025-01-17
237,약국,태평양약국,대전광역시 서구 정림동 590,대전광역시 서구 정림로 56-1,3017053500,정림동,3017010400,정림동,김**,,,36.3054916,127.3655439,2025-01-17
238,약국,평촌약국,,,,,,,허*,,,,,2025-01-17
239,약국,푸른솔약국,대전광역시 서구 월평동 533,대전광역시 서구 월평중로 24,3017058600,월평1동,3017011300,월평동,복**,,,36.3567786,127.3641721,2025-01-17
240,약국,프라자약국,대전광역시 서구 탄방동 730,대전광역시 서구 문예로 19,3017055500,탄방동,3017010600,탄방동,복**,,,36.34844455,127.3898447,2025-01-17
241,약국,플러스약국,대전광역시 서구 탄방동 644,대전광역시 서구 문정로48번길 58,3017055500,탄방동,3017010600,탄방동,곽**,,,36.34397292,127.3841953,2025-01-17
242,약국,필약국,대전광역시 서구 둔산동 1424,대전광역시 서구 둔산남로 87,3017063000,둔산1동,3017011200,둔산동,민**,,,36.34931136,127.3874168,2025-01-17
243,약국,하나로약국,대전광역시 서구 도마동 175-20,대전광역시 서구 계백로 1436,3017052000,도마1동,3017010300,도마동,윤**,,,36.3131558,127.380866,2025-01-17
244,약국,하나약국,대전광역시 서구 월평동 1180 ,대전광역시 서구 월평서로 11,3017058600,월평1동,3017011300,월평동,박**,,,36.35452316,127.3576301,2025-01-17
245,약국,한밭약국,대전광역시 서구 도마동 173-6,대전광역시 서구 계백로 1418,3017053000,도마2동,3017010300,도마동,정**,,,36.31237273,127.3790922,2025-01-17
246,약국,한신약국,대전광역시 서구 둔산동 1875,대전광역시 서구 문정로 174,3017066000,둔산3동,3017011200,둔산동,박**,,,36.34978495,127.3954974,2025-01-17
